Date/Time,Time,Month,Weekday,Address,Lat,Lon,Call Type,Description
2/23/2017,01/01/1900 22:03:10,Feb,Thursday,"0 BLK 1 AVE N Fargo, ND 58102",46.8773178,-96.809867,Abuse,CHILD IN CAR
5/25/2017,01/01/1900 20:05:45,May,Thursday,"0 BLK 1/2 6 AVE N Fargo, ND 58102",46.88188,-96.777257,Abuse,1021
8/13/2017,01/01/1900 19:11:37,Aug,Sunday,"0 BLK 1/2 8 ST N Fargo, ND 58102",46.875951,-96.793342,Abuse,CHILD NEGLECT
10/29/2017,01/01/1900 11:31:13,Oct,Sunday,"0 BLK 1/2 8 ST S Fargo, ND 58103",46.8744453,-96.7912678,Abuse,CHILD ABUSE
1/30/2017,01/01/1900 9:54:38,Jan,Monday,"0 BLK 1/2 8 ST S Fargo, ND 58103",46.8744453,-96.7912678,Abuse,ABUSE
12/25/2017,01/01/1900 19:06:29,Dec,Monday,"0 BLK 1/2 8TH ST S Fargo, ND 58103",46.8759023,-96.8246502,Abuse,CHILD NEGLECT/1021
6/3/2017,01/01/1900 22:08:43,Jun,Saturday,"0 BLK 1/2 9 ST S Fargo, ND 58103",46.8744152,-96.7927594,Abuse,PICTURES FOR CHILD ABUSE
5/27/2017,01/01/1900 0:51:04,May,Saturday,"0 BLK 1/2 9 ST S Fargo, ND 58103",46.8744152,-96.7927594,Abuse,ABUSE
2/5/2017,01/01/1900 4:44:24,Feb,Sunday,"0 BLK 1/2 ROBERTS ST N Fargo, ND 58102",46.8759276,-96.790239,Abuse,CHILD ABUSE
7/12/2017,01/01/1900 18:12:01,Jul,Wednesday,"0 BLK 10 AVE N Fargo, ND 58102",46.8868057,-96.8046633,Abuse,NEGLECT/ABUSE
7/12/2017,01/01/1900 14:36:15,Jul,Wednesday,"0 BLK 10 AVE N Fargo, ND 58102",46.8868057,-96.8046633,Abuse,ABUSE REPORT
5/1/2017,01/01/1900 10:45:29,May,Monday,"0 BLK 10 AVE N Fargo, ND 58102",46.8868057,-96.8046633,Abuse,1021
4/17/2017,01/01/1900 16:56:01,Apr,Monday,"0 BLK 10 AVE N Fargo, ND 58102",46.8868057,-96.8046633,Abuse,ABUSE REPORT/1021 ONLY
9/21/2017,01/01/1900 22:07:55,Sep,Thursday,"0 BLK 10 ST N Fargo, ND 58102",46.9073603,-96.7934634,Abuse,STANDBY FOR CHILD CHECK
11/12/2017,01/01/1900 15:20:00,Nov,Sunday,"0 BLK 10 ST N Fargo, ND 58102",46.9073603,-96.7934634,Abuse,CHILD ABUSE
10/15/2017,01/01/1900 16:23:16,Oct,Sunday,"0 BLK 10 ST N Fargo, ND 58102",46.9073603,-96.7934634,Abuse,1021
9/3/2017,01/01/1900 16:57:53,Sep,Sunday,"0 BLK 10 ST N Fargo, ND 58102",46.9073603,-96.7934634,Abuse,CHILD ABUSE
7/5/2017,01/01/1900 17:33:28,Jul,Wednesday,"0 BLK 10 ST N Fargo, ND 58102",46.9073603,-96.7934634,Abuse,CHILD ABUSE RPT
5/9/2017,01/01/1900 13:12:30,May,Tuesday,"0 BLK 10 ST N Fargo, ND 58102",46.9073603,-96.7934634,Abuse,WELFARE CHECK
2/1/2017,01/01/1900 17:43:11,Feb,Wednesday,"0 BLK 10 ST N Fargo, ND 58102",46.9073603,-96.7934634,Abuse,ABUSE/NC ACTIVITY
8/3/2017,01/01/1900 19:39:17,Aug,Thursday,"0 BLK 10 ST S Fargo, ND 58103",46.8596092,-96.7950113,Abuse,CHILD ABUSE
7/24/2017,01/01/1900 0:03:46,Jul,Monday,"0 BLK 10 ST S Fargo, ND 58103",46.8596092,-96.7950113,Abuse,POSS CHILD ABUSE
8/20/2017,01/01/1900 19:03:09,Aug,Sunday,"0 BLK 10 ST S Fargo, ND 58103",46.8596092,-96.7950113,Abuse,CHILD ABUSE
9/17/2017,01/01/1900 16:45:42,Sep,Sunday,"0 BLK 11 AVE N Fargo, ND 58102",46.8885617,-96.7776322,Abuse,ABUSE RPT
2/15/2017,01/01/1900 20:09:57,Feb,Wednesday,"0 BLK 11 AVE N Fargo, ND 58102",46.8885617,-96.7776322,Abuse,ABUSE / 1021
9/3/2017,01/01/1900 0:36:26,Sep,Sunday,"0 BLK 11 AVE N Fargo, ND 58102",46.8885617,-96.7776322,Abuse,1021
11/25/2017,01/01/1900 23:19:08,Nov,Saturday,"0 BLK 11 AVE N Fargo, ND 58102",46.8885617,-96.7776322,Abuse,CHILD ABUSE / NEGLECT
8/25/2017,01/01/1900 23:58:59,Aug,Friday,"0 BLK 11 AVE N Fargo, ND 58102",46.8885617,-96.7776322,Abuse,CHILD ABUSE
8/20/2017,01/01/1900 0:00:42,Aug,Sunday,"0 BLK 11 AVE N Fargo, ND 58102",46.8885617,-96.7776322,Abuse,1021 ONLY
6/16/2017,01/01/1900 23:45:27,Jun,Friday,"0 BLK 11 AVE N Fargo, ND 58102",46.8885617,-96.7776322,Abuse,1021
4/3/2017,01/01/1900 11:08:35,Apr,Monday,"0 BLK 11 AVE N Fargo, ND 58102",46.8885617,-96.7776322,Abuse,1021
11/9/2017,01/01/1900 10:40:00,Nov,Thursday,"0 BLK 11 ST S Fargo, ND 58103",46.8748437,-96.7956404,Abuse,ABUSE
12/3/2017,01/01/1900 2:45:55,Dec,Sunday,"0 BLK 11 ST S Fargo, ND 58103",46.8748437,-96.7956404,Abuse,REPORT
11/13/2017,01/01/1900 15:16:29,Nov,Monday,"0 BLK 12 AVE N Fargo, ND 58102",46.8902409,-96.8230782,Abuse,ABUSE
10/19/2017,01/01/1900 21:23:41,Oct,Thursday,"0 BLK 12 AVE N Fargo, ND 58102",46.8902409,-96.8230782,Abuse,POSS CHILD ABUSE
